image_name,card_set,card_number,rarity,card_name,other_names,card_type,attribute,types,race_type,ability_type,level,atk_def,atk,def,password,status,effect_types,ritual_required,property,ritual_monster_required,pendulum_scale,rank,link_arrows,atk_link,atk_link_val,link_rating,other_names_japanese,summoned_by_the_effect_of
MRD-116 R.png,Metal Raiders,MRD-116,Rare,Witch of the Black Forest,NA,Monster,DARK,Spellcaster / Effect,Spellcaster,Effect,4,1100 / 1200,1100,1200,78010363,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Trigger', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PHSW-EN014 C.png,Photon Shockwave,PHSW-EN014,Common,Plasma Ball,NA,Monster,LIGHT,Thunder / Effect,Thunder,Effect,3,900 / 900,900,900,92595545,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Continuous', 'Trigger']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROTD-EN030 UR.png,Rise of the Duelist,ROTD-EN030,Ultra Rare,Koa'ki Meiru Supplier,NA,Monster,EARTH,Rock / Effect,Rock,Effect,4,1400 / 1600,1400,1600,80839052,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Trigger', 'Trigger', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PGD-093 R.png,Pharaonic Guardian,PGD-093,Rare,Coffin Seller,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,65830223,"['Unlimited (Ocg)', 'Unlimited (Tcg)', 'Unlimited (Tcg Speed Duel)']",['Trigger-like'],NA,Continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA
RIRA-EN060 C.png,Rising Rampage,RIRA-EN060,Common,"Elborz, the Sacred Lands of Simorgh",NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,92223430,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Continuous-like', 'Condition', 'Ignition-like', 'Ignition-like']",NA,Field,NA,NA,NA,NA,NA,NA,NA,NA,NA
DUEA-EN098 C.png,Duelist Alliance,DUEA-EN098,Common,Cloudcastle,NA,Monster,WIND,Machine / Synchro / Effect,Machine,Synchro,9,0 / 3000,0,3000,09348522,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Trigger', 'Continuous']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOI-EN048 C.png,Shadow of Infinity,SOI-EN048,Common,Samsara,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,44182827,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Continuous-like'],NA,Continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRV-EN006 C.png,Cybernetic Revolution,CRV-EN006,Common,Patroid,NA,Monster,EARTH,Machine / Effect,Machine,Effect,4,1200 / 1200,1200,1200,71930383,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Ignition'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LTGY-EN045 UR.png,Lord of the Tachyon Galaxy,LTGY-EN045,Ultra Rare,Gauntlet Launcher,NA,Monster,EARTH,Warrior / Xyz / Effect,Warrior,Xyz,NA,2400 / 2800,2400,2800,15561463,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Ignition'],NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
SOVR-EN022 C.png,Stardust Overdrive,SOVR-EN022,Common,Reptilianne Scylla,NA,Monster,DARK,Reptile / Effect,Reptile,Effect,4,1800 / 1200,1800,1200,16909657,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Trigger'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIOV-EN031 C.png,Lightning Overdrive,LIOV-EN031,Common,Otoshidamashi,NA,Monster,EARTH,Beast / Tuner / Effect,Beast,Tuner,1,1000 / 1000,1000,1000,14957440,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Continuous', 'Trigger', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIOV-EN099 C.png,Lightning Overdrive,LIOV-EN099,Common,Sunvine Cross Breed,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,70473293,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Ignition-like', 'Condition']",NA,Continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA
STOR-EN004 SR.png,Storm of Ragnarok,STOR-EN004,Super Rare,D.D. Sprite,NA,Monster,LIGHT,Fairy / Tuner / Effect,Fairy,Tuner,1,0 / 100,0,100,16638212,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Unclassified', 'Trigger']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FET-EN004 C.png,Flaming Eternity,FET-EN004,Common,Insect Knight,NA,Monster,EARTH,Insect,Insect,NA,4,1900 / 1500,1900,1500,35052053,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TDIL-EN095 C.png,The Dark Illusion,TDIL-EN095,Common,Paleozoic Olenoides,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,35035481,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Effect', 'Quick-like', 'Condition']",NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
CIBR-EN089 C.png,Circuit Break,CIBR-EN089,Common,F.A. Pit Stop,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,38532954,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Effect', 'Ignition-like', 'Condition']",NA,Quick-Play,NA,NA,NA,NA,NA,NA,NA,NA,NA
BODE-EN088 UR.png,Burst of Destiny,BODE-EN088,Ultra Rare,Ultra Beetrooper Absolute Hercules,NA,Monster,EARTH,Insect / Fusion / Effect,Insect,Fusion,11,4000 / 4000,4000,4000,50855622,"['Not Yet Released (Ocg)', 'Unlimited (Tcg)']","['Unclassified', 'Trigger', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INOV-EN031 C.png,Invasion: Vengeance,INOV-EN031,Common,Aromaseraphy Angelica,NA,Monster,LIGHT,Plant / Tuner / Effect,Plant,Tuner,1,0 / 0,0,0,16759958,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Quick', 'Ignition', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TDGS-EN081 SR.png,The Duelist Genesis,TDGS-EN081,Super Rare,Counselor Lily,NA,Monster,EARTH,Fairy / Tuner,Fairy,Tuner,3,400 / 1500,400,1500,05519829,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Trigger'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ANPR-EN013 R.png,Ancient Prophecy,ANPR-EN013,Rare,Darksea Rescue,NA,Monster,DARK,Machine / Effect,Machine,Effect,1,0 / 0,0,0,34659866,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Trigger'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POTD-EN038 C.png,Power of the Duelist,POTD-EN038,Common,Fake Hero,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,78387742,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Effect', 'Lingering']",NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHIM-EN088 SR.png,Chaos Impact,CHIM-EN088,Super Rare,Dream Mirror Phantasms,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,62171834,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Effect', 'Continuous-like', 'Continuous-like', 'Condition']",NA,Continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA
IGAS-EN027 R.png,Ignition Assault,IGAS-EN027,Rare,Ibicella Lutea,NA,Monster,EARTH,Plant / Effect,Plant,Effect,4,1800 / 100,1800,100,62411042,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Continuous', 'Continuous']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOFU-EN052 C.png,Soul Fusion,SOFU-EN052,Common,Rise of the Salamangreat,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,38784726,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Effect', 'Trigger']",NA,Ritual,"""Salamangreat Emerald Eagle""",NA,NA,NA,NA,NA,NA,NA,NA
STOR-EN005 C.png,Storm of Ragnarok,STOR-EN005,Common,Top Runner,NA,Monster,WIND,Machine / Tuner,Machine,Tuner,4,1100 / 800,1100,800,53623827,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Continuous'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DUEA-EN086 SR.png,Duelist Alliance,DUEA-EN086,Super Rare,The Traveler and the Burning Abyss,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,20036055,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Effect', 'Condition']",NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
CROS-EN085 UR.png,Crossed Souls,CROS-EN085,Ultra Rare,The Terminus of the Burning Abyss,NA,Spell,NA,NA,NA,NA,NA,NA,NA,NA,44771289,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Effect', 'Ignition-like']",NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTDN-EN033 C.png,Phantom Darkness,PTDN-EN033,Common,Black Veloci,NA,Monster,EARTH,Dinosaur / Effect,Dinosaur,Effect,4,1800 / 300,1800,300,52319752,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Continuous', 'Continuous']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PGD-022 C.png,Pharaonic Guardian,PGD-022,Common,Swarm of Locusts,NA,Monster,DARK,Insect / Effect,Insect,Effect,3,1000 / 500,1000,500,41872150,"['Unlimited (Ocg)', 'Unlimited (Tcg)', 'Unlimited (Tcg Speed Duel)']","['Ignition', 'Trigger']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RGBT-EN011 C.png,Raging Battle,RGBT-EN011,Common,Blackwing - Shura the Blue Flame,NA,Monster,DARK,Winged Beast / Effect,Winged Beast,Effect,4,1800 / 1200,1800,1200,58820853,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Trigger'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIOV-EN017 UR.png,Lightning Overdrive,LIOV-EN017,Ultra Rare,Live☆Twin Ki-sikil Frost,NA,Monster,LIGHT,Aqua / Effect,Aqua,Effect,2,500 / 0,500,0,54257392,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Unclassified', 'Condition', 'Trigger', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EEN-EN055 C.png,Elemental Energy,EEN-EN055,Common,The League of Uniform Nomenclature,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,55008284,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Effect'],NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
STOR-EN068 C.png,Storm of Ragnarok,STOR-EN068,Common,Nordic Relic Brisingamen,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,42793609,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Effect'],NA,Normal,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAMA-EN002 ScR.png,Dawn of Majesty,DAMA-EN002,Secret Rare,Stardust Synchron,NA,Monster,LIGHT,Machine / Tuner / Effect,Machine,Tuner,4,1500 / 1000,1500,1000,37799519,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Ignition', 'Trigger', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MACR-EN016 C.png,Maximum Crisis,MACR-EN016,Common,Double Resonator,NA,Monster,FIRE,Fiend / Tuner / Effect,Fiend,Tuner,1,0 / 0,0,0,60832978,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Trigger', 'Ignition', 'Condition']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABPF-EN095 ScR.png,Absolute Powerforce,ABPF-EN095,Secret Rare,Shield Wing,NA,Monster,WIND,Winged Beast / Effect,Winged Beast,Effect,2,0 / 900,0,900,28859794,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Continuous'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLOD-EN052 R.png,Flames of Destruction,FLOD-EN052,Rare,Greatfly,NA,Monster,WIND,Insect / Link / Effect,Insect,Link,NA,NA,NA,NA,90512490,"['Unlimited (Ocg)', 'Unlimited (Tcg)']","['Continuous', 'Trigger', 'Condition']",NA,NA,NA,NA,NA,"Bottom-Left,  Bottom-Right",1400 / 2,1400,2,NA,NA
PSV-056 R.png,Pharaoh's Servant,PSV-056,Rare,Skull Invitation,NA,Trap,NA,NA,NA,NA,NA,NA,NA,NA,98139712,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Continuous-like'],NA,Continuous,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOD-EN031 C.png,Soul of the Duelist,SOD-EN031,Common,Enraged Muka Muka,NA,Monster,EARTH,Rock / Effect,Rock,Effect,5,1200 / 600,1200,600,91862578,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",['Continuous'],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRD-044 C.png,Metal Raiders,MRD-044,Common,Mega Thunderball,NA,Monster,WIND,Thunder,Thunder,NA,2,750 / 600,750,600,21817254,"['Unlimited (Ocg)', 'Unlimited (Tcg)']",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
